trace,block,way,algorithm,assignment,write,miss,hit
bzip2,6,2.0,lru,1,1,841,543673
perlbench,3,3.0,lru,0,1,23664,483777
bzip2,5,2.0,lru,1,1,1668,542846
astar,3,3.0,lru,1,0,116766,384702
astar,6,inf,lru,1,1,24908,476560
bzip2,5,inf,lru,1,1,1668,542846
perlbench,3,3.0,lru,1,1,9084,498357
mcf,6,0.0,lru,1,1,5515,502185
mcf,5,2.0,lru,1,1,9263,498437
mcf,3,3.0,rand,1,1,23353,484347
mcf,3,3.0,lru,0,1,56593,451107
mcf,3,2.0,lru,1,1,23232,484468
mcf,5,0.0,lru,1,1,9273,498427
perlbench,5,3.0,lru,1,1,4172,503269
astar,3,2.0,lru,1,1,116737,384731
astar,6,0.0,lru,1,1,25341,476127
perlbench,3,3.0,rand,1,1,9110,498331
astar,3,inf,lru,1,1,116640,384828
bzip2,3,3.0,rand,1,1,6627,537887
astar,3,0.0,lru,1,1,116693,384775
mcf,6,2.0,lru,1,1,5502,502198
astar,3,3.0,lru,1,1,116766,384702
perlbench,3,3.0,tree,1,1,9165,498276
bzip2,6,0.0,lru,1,1,868,543646
bzip2,6,3.0,lru,1,1,841,543673
astar,3,3.0,tree,1,1,117307,384161
astar,6,3.0,lru,1,1,25074,476394
mcf,5,inf,lru,1,1,9263,498437
perlbench,3,inf,lru,1,1,8901,498540
perlbench,3,3.0,lru,0,0,23664,483777
mcf,5,3.0,lru,1,1,9263,498437
mcf,3,3.0,tree,1,1,24060,483640
mcf,3,3.0,lru,1,0,23232,484468
bzip2,3,3.0,lru,1,1,6627,537887
bzip2,3,0.0,lru,1,1,6654,537860
perlbench,6,2.0,lru,1,1,4329,503112
mcf,3,0.0,lru,1,1,23238,484462
bzip2,3,2.0,lru,1,1,6627,537887
mcf,3,3.0,lru,0,0,56593,451107
astar,3,3.0,lru,0,0,173001,328467
bzip2,3,3.0,lru,1,0,6627,537887
astar,6,2.0,lru,1,1,25123,476345
perlbench,5,0.0,lru,1,1,8253,499188
perlbench,6,3.0,lru,1,1,3169,504272
perlbench,5,inf,lru,1,1,3350,504091
perlbench,3,2.0,lru,1,1,10510,496931
astar,3,3.0,lru,0,1,173001,328467
astar,5,2.0,lru,1,1,48291,453177
mcf,6,3.0,lru,1,1,5502,502198
mcf,6,inf,lru,1,1,5502,502198
perlbench,3,0.0,lru,1,1,15640,491801
bzip2,6,inf,lru,1,1,841,543673
bzip2,5,3.0,lru,1,1,1668,542846
bzip2,5,0.0,lru,1,1,1686,542828
bzip2,3,3.0,lru,0,0,47209,497305
astar,5,0.0,lru,1,1,48451,453017
astar,5,3.0,lru,1,1,48279,453189
perlbench,6,0.0,lru,1,1,5765,501676
bzip2,3,3.0,tree,1,1,6627,537887
bzip2,3,3.0,lru,0,1,47209,497305
perlbench,5,2.0,lru,1,1,5763,501678
perlbench,3,3.0,lru,1,0,9084,498357
mcf,3,3.0,lru,1,1,23232,484468
bzip2,3,inf,lru,1,1,6627,537887
astar,3,3.0,rand,1,1,116524,384944
perlbench,6,inf,lru,1,1,1966,505475
astar,5,inf,lru,1,1,48111,453357
mcf,3,inf,lru,1,1,23232,484468
